CatalogueNumber,ScientificName,QualifiedScientificName,CommonName,Family,Genus,Species,SpeciesAuthority,Subspecies,SubspeciesAuthority,Variety,VarietyAuthority,Forma,FormaAuthority,Identifier,IDDate,IDNotes,CDC,MuseumCollection,CollectionEventNumber,Collector,CollectorsFieldNumber,CollectionDate,CollectorSiteID,Prov_State,District,LocationName,LocationDescription,Latitude,Longitude,Approximate,UTMZone,UTMNorthing,UTMEasting,Elevation,Park_ER_IR,HabitatRemarks,SpecimenNotes,SpeciesAbundance
V206517,Callitriche heterophylla Pursh ssp. bolanderi (Hegelm.) Calder & Taylor,Callitriche heterophylla Pursh ssp. bolanderi (Hegelm.) Calder & Taylor,diverse-leaved water-starwort; water-starwort,Callitrichaceae,Callitriche,heterophylla,,bolanderi,(Hegelm.) Calder & Taylor,,,,, Harvey Janszen,,,Not Listed,Janszen 1997,BE070227, Harvey Janszen; Pam Janszen; M. Fontaine,2842,1997-07-20,BS058116,British Columbia,,"Texada Island, British Columbia","Texada Island, S end of Mouat Point",49.6197222222222,-124.431388888889,False,10U,549735,39640,2 m (min.),,In vernal pools 1 m above high tide line,Ca. 20 plants in 30 cm x 30 cm pool. No associates.,
V156488,Deschampsia elongata (Hook.) Munro ex Benth.,Deschampsia elongata (Hook.) Munro ex Benth.,grass; slender hairgrass,Poaceae,Deschampsia,elongata,(Hook.) Munro ex Benth.,,,,,,, Harvey Janszen,1979-01-01,,Not Listed,Janszen 1979,BE021024, Harvey Janszen,1113,1979-06-04,BS018202,British Columbia,Gulf Islands,Mayne Island,below Hall Hill,48.85,-123.283333333333,False,,,,,,waste ground,,
V083378,Poa secunda J. Presl ssp. secunda,Poa secunda J. Presl ssp. secunda,grass; Sandberg's bluegrass,Poaceae,Poa,secunda,,secunda,,,,,, R. Soreng,1993-01-01,,Not Listed,Janszen 1975,BE021021, Harvey Janszen,411,1975-05-06,BS018199,British Columbia,Gulf Islands,Mayne Island,above Navy Channel,48,-123,False,,,,,,open S facing bluffs,,
V097301A,Poa compressa L.,Poa compressa L.,Canada bluegrass; grass,Poaceae,Poa,compressa,L.,,,,,,, R. Soreng,1990-01-01,,Not Listed,Janszen 1975,BE020976, Harvey Janszen,s.n.,1975-07-09,BS018162,British Columbia,Gulf Islands,Mayne Island,,48.85,-123.283333333333,False,,,,,,"dry, hillside meadow",,
V097777,Carex lenticularis Michx. var. lipocarpa (Holm) Standley,Carex lenticularis Michx. var. lipocarpa (Holm) Standley,Kellogg's sedge; sedge,Cyperaceae,Carex,lenticularis,,,,lipocarpa,(Holm) Standley,,, Adolf Ceska,2000-08-01,,Not Listed,Janszen 1977,BE024802, Harvey Janszen,956,1977-05-25,BS021557,British Columbia,Gulf Islands,North Pender Island,Dept. of Hwy. yard.,48.7833333333333,-123.283333333333,False,,,,,,Ditches.,,
V098664,Carex exsiccata Bailey,Carex exsiccata Bailey,inflated sedge; sedge,Cyperaceae,Carex,exsiccata,Bailey,,,,,,, Jenifer Penny,2000-08-02,,Not Listed,Janszen 1979,BE029895, Harvey Janszen,1485,1979-01-01,BS026089,British Columbia,Gulf Islands,"Saltspring Island; Bruce, Mount",E side of Mount Bruce.,48.75,-123.483333333333,False,,,,1300 ft. (min.),,Fen.,,
V098557,Poa compressa L.,Poa compressa L.,Canada bluegrass; grass,Poaceae,Poa,compressa,L.,,,,,,, R. Soreng,1993-01-01,,Not Listed,Janszen 1979,BE024800, Harvey Janszen,1218,1979-06-19,BS021555,British Columbia,Gulf Islands,North Pender Island,Clam Bay Road,48.7833333333333,-123.283333333333,False,,,,,,moist roadside,,
V098383,Carex utriculata Boott,Carex utriculata Boott,beaked sedge; sedge,Cyperaceae,Carex,utriculata,Boott,,,,,,, Jenifer Penny,2000-08-02,,Not Listed,Janszen 1979,BE012151, Harvey Janszen,1278,1979-06-28,BS010476,British Columbia,Gulf Islands,Galiano Island,Sec-L-66,48.9333333333333,-123.45,False,,,,,,lake,,
V097451,Juncus ensifolius Wikstr.,Juncus ensifolius Wikstr.,dagger-leaf rush; rush,Juncaceae,Juncus,ensifolius,Wikstr.,,,,,,,,,,Not Listed,,BE030284, Harvey Janszen,,1973-07-10,BS026424,British Columbia,Gulf Islands,Saturna Island,,,,False,,,,,,,,
V206209,Botrychium multifidum (Gmel.) Rupr.,Botrychium multifidum (Gmel.) Rupr.,fern; leathery grape fern,Ophioglossaceae,Botrychium,multifidum,(Gmel.) Rupr.,,,,,,, Harvey Janszen,,,Not Listed,Janszen 1997,BE070003, Harvey Janszen; M. Fontaine,2783,1997-06-23,BS057927,British Columbia,,"Anderson Bay Road, Texada Island",,49.5666666666667,124.216666666667,False,10U,549166,41121,610 m (min.),,"In weedy drainage channel between low basalt ridges, dominated by Leucanthemum vulgare & Botrychium multifidum. Slope 10%, aspect N50°W",,
